100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 constrain.py:1(<module>)
    67829    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.014    0.014 py3k.py:1(<module>)
       49    0.000    0.000    0.013    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.013    0.013 converters.py:1(<module>)
    11044    0.006    0.000    0.012    0.000 scanner.py:145(need_more_tokens)
      296    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      215    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
   201090    0.012    0.000    0.012    0.000 __init__.py:609(__missing__)
      276    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.012    0.012 default_styles.py:1(<module>)
        1    0.000    0.000    0.012    0.012 table.py:1(<module>)
     2447    0.009    0.000    0.012    0.000 {built-in method builtins.print}
       49    0.000    0.000    0.011    0.000 _parser.py:969(parse)
   173/49    0.001    0.000    0.011    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.011    0.011 jupyter.py:1(<module>)
   238/53    0.004    0.000    0.011    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.010    0.010 style.py:1(<module>)
        1    0.000    0.000    0.010    0.010 segment.py:1(<module>)
    34792    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.010    0.010 argparse.py:1764(__init__)
  211/150    0.000    0.000    0.009    0.000 typing.py:508(__getitem__)
      946    0.005    0.000    0.009    0.000 wordle.py:23(get_matches)
      428    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.009    0.009 __init__.py:32(__enter__)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        3    0.000    0.000    0.009    0.003 argparse.py:1446(add_argument)
      648    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
   408/49    0.002    0.000    0.009    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.009    0.009 _ratio.py:1(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        3    0.000    0.000    0.009    0.003 argparse.py:2622(_get_formatter)
        3    0.000    0.000    0.009    0.003 argparse.py:164(__init__)
       15    0.000    0.000    0.009    0.001 _make.py:1608(wrap)
      357    0.001    0.000    0.009    0.000 typing.py:1242(__init__)
    39534    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
      214    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
    27539    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
      150    0.001    0.000    0.008    0.000 typing.py:687(Union)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
      184    0.007    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.008    0.008 color.py:1(<module>)
     1000    0.003    0.000    0.008    0.000 scanner.py:1311(scan_plain_spaces)
      107    0.008    0.000    0.008    0.000 {built-in method builtins.compile}
      253    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      730    0.001    0.000    0.007    0.000 __init__.py:618(most_common)
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
        1    0.000    0.000    0.007    0.007 validators.py:1(<module>)
        1    0.000    0.000    0.007    0.007 fractions.py:1(<module>)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
      389    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      259    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.006    0.006 reader.py:1(<module>)
      317    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.006    0.006 reader.py:45(Reader)
      450    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
     1000    0.003    0.000    0.006    0.000 scanner.py:484(fetch_block_entry)
      236    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    11028    0.006    0.000    0.006    0.000 scanner.py:279(stale_possible_simple_keys)
        1    0.000    0.000    0.006    0.006 _make.py:1(<module>)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
        1    0.000    0.000    0.005    0.005 constructor.py:1(<module>)
       69    0.000    0.000    0.005    0.000 _make.py:313(_compile_and_eval)
        1    0.000    0.000    0.005    0.005 _compat.py:1(<module>)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
     2002    0.002    0.000    0.005    0.000 scanner.py:752(scan_to_next_token)
        1    0.000    0.000    0.005    0.005 resolver.py:1(<module>)
    15523    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
     5000    0.004    0.000    0.005    0.000 reader.py:99(forward)
    16087    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
      730    0.004    0.000    0.005    0.000 heapq.py:523(nlargest)
        7    0.000    0.000    0.005    0.001 dataclasses.py:1240(dataclass)
        1    0.000    0.000    0.005    0.005 theme.py:1(<module>)
     5008    0.004    0.000    0.005    0.000 reader.py:114(get_mark)
        7    0.000    0.000    0.004    0.001 dataclasses.py:1257(wrap)
        7    0.000    0.000    0.004    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
       53    0.000    0.000    0.004    0.000 _make.py:321(_make_method)
    38100    0.004    0.000    0.004    0.000 guesser.py:247(<genexpr>)
      722    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.004    0.004 cyaml.py:1(<module>)
      648    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2342    0.002    0.000    0.004    0.000 typing.py:1188(__setattr__)
     2008    0.001    0.000    0.004    0.000 scanner.py:135(get_token)
       49    0.000    0.000    0.004    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.004    0.004 console.py:631(__init__)
        1    0.000    0.000    0.004    0.004 console.py:588(detect_legacy_windows)
        1    0.000    0.000    0.004    0.004 console.py:578(get_windows_console_features)
       61    0.000    0.000    0.004    0.000 typing.py:740(Optional)
     1000    0.002    0.000    0.004    0.000 composer.py:88(compose_scalar_node)
        1    0.000    0.000    0.004    0.004 decimal.py:1(<module>)
    17527    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
     3002    0.002    0.000    0.004    0.000 scanner.py:1416(scan_line_break)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
     1000    0.002    0.000    0.004    0.000 scanner.py:295(save_possible_simple_key)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
    23010    0.003    0.000    0.003    0.000 reader.py:87(peek)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
       25    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      278    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      435    0.002    0.000    0.003    0.000 guesser.py:249(get_shortcut_words)
     4394    0.002    0.000    0.003    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
       21    0.000    0.000    0.003    0.000 dataclasses.py:449(_create_fn)
        1    0.001    0.001    0.003    0.003 core.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _emoji_replace.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _windows.py:1(<module>)
     5000    0.002    0.000    0.003    0.000 reader.py:94(prefix)
       15    0.000    0.000    0.003    0.000 _make.py:707(__init__)
      648    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      357    0.000    0.000    0.003    0.000 typing.py:1147(__init__)
      217    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
    45/12    0.000    0.000    0.003    0.000 typing.py:1267(__getitem__)
      648    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
       15    0.001    0.000    0.003    0.000 typing.py:2780(__new__)
      236    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       15    0.000    0.000    0.003    0.000 _make.py:494(_transform_attrs)
        1    0.000    0.000    0.003    0.003 configparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _globals.py:1(<module>)
        2    0.000    0.000    0.003    0.001 constructor.py:54(construct_document)
     7966    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.003    0.001 constructor.py:405(construct_yaml_seq)
        2    0.000    0.000    0.003    0.001 constructor.py:124(construct_sequence)
