100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method nt.open}
     1000    0.000    0.000    0.001    0.000 scanner.py:706(check_block_entry)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1805    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.001    0.000 gettext.py:616(gettext)
        3    0.000    0.000    0.001    0.000 gettext.py:578(dgettext)
     1323    0.000    0.000    0.001    0.000 _parser.py:256(match)
        3    0.000    0.000    0.001    0.000 gettext.py:519(translation)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
      999    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        3    0.000    0.000    0.000    0.000 _make.py:1937(_add_eq)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
        1    0.000    0.000    0.000    0.000 repr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:1(<module>)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       80    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _make.py:1013(add_repr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      317    0.000    0.000    0.000    0.000 function_base.py:483(_add_docstring)
       14    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
      258    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
  209/199    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       49    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
  471/390    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
     1614    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      999    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
        1    0.000    0.000    0.000    0.000 wintypes.py:1(<module>)
      772    0.000    0.000    0.000    0.000 _parser.py:176(append)
        2    0.000    0.000    0.000    0.000 loader.py:23(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
      107    0.000    0.000    0.000    0.000 __init__.py:164(match)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
     1571    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
     1117    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.000    0.000 table.py:154(Table)
       26    0.000    0.000    0.000    0.000 core.py:6855(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      662    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 terminal_theme.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     2061    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     1905    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 console.py:124(ConsoleOptions)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 _null_file.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
      638    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       55    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       14    0.000    0.000    0.000    0.000 _make.py:1145(add_order)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
      859    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     1905    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     2004    0.000    0.000    0.000    0.000 scanner.py:325(unwind_indent)
      943    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
      255    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      184    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 _emoji_codes.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _make.py:2660(from_counting_attr)
        1    0.000    0.000    0.000    0.000 emoji.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
      127    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
  986/797    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     2002    0.000    0.000    0.000    0.000 scanner.py:312(remove_possible_simple_key)
        3    0.000    0.000    0.000    0.000 {built-in method _io.open}
     1296    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 reader.py:59(__init__)
     1000    0.000    0.000    0.000    0.000 tokens.py:98(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 color_triplet.py:1(<module>)
      184    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 terminal_theme.py:9(TerminalTheme)
       25    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       14    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
       44    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 configparser.py:348(BasicInterpolation)
       70    0.000    0.000    0.000    0.000 _make.py:1148(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       67    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
        3    0.000    0.000    0.000    0.000 argparse.py:1364(__init__)
      258    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 control.py:1(<module>)
        1    0.000    0.000    0.000    0.000 color.py:302(Color)
       54    0.000    0.000    0.000    0.000 _make.py:2602(__init__)
       46    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 _null_file.py:5(NullFile)
        2    0.000    0.000    0.000    0.000 reader.py:122(determine_encoding)
      629    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
     1000    0.000    0.000    0.000    0.000 constructor.py:117(construct_scalar)
        1    0.000    0.000    0.000    0.000 segment.py:35(ControlType)
     1000    0.000    0.000    0.000    0.000 events.py:65(__init__)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:66(Lines)
       36    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      380    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1314    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       25    0.000    0.000    0.000    0.000 _make.py:2709(__getstate__)
      555    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
      303    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      947    0.000    0.000    0.000    0.000 guesser.py:29(__init__)
      305    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      213    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     1012    0.000    0.000    0.000    0.000 parser.py:114(get_event)
      638    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
        1    0.000    0.000    0.000    0.000 argparse.py:1895(parse_args)
       98    0.000    0.000    0.000    0.000 style.py:146(_make_color)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      258    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 argparse.py:1902(parse_known_args)
    85/20    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      586    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       23    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       15    0.000    0.000    0.000    0.000 _make.py:2237(_attrs_to_init_script)
     1000    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
    85/20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 box.py:1(<module>)
      853    0.000    0.000    0.000    0.000 {built-in method _heapq.heapreplace}
       43    0.000    0.000    0.000    0.000 ipaddress.py:1886(__init__)
      147    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      894    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      119    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.000    0.000 argparse.py:1940(_parse_known_args)
        2    0.000    0.000    0.000    0.000 parser.py:376(parse_block_sequence_first_entry)
        1    0.000    0.000    0.000    0.000 padding.py:1(<module>)
        1    0.000    0.000    0.000    0.000 region.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 _make.py:1814(_add_hash)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       44    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
      659    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
       25    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
        4    0.000    0.000    0.000    0.000 reader.py:177(update_raw)
     1000    0.000    0.000    0.000    0.000 nodes.py:27(__init__)
    343/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      648    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       80    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 configparser.py:494(LegacyInterpolation)
      102    0.000    0.000    0.000    0.000 enum.py:726(__call__)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _loop.py:1(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      223    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
        1    0.000    0.000    0.000    0.000 _log_render.py:14(LogRender)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2979(prod)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 highlighter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:2008(consume_optional)
      791    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      981    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       21    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
       25    0.000    0.000    0.000    0.000 _make.py:98(attrib)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      450    0.000    0.000    0.000    0.000 _make.py:2713(<genexpr>)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       12    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pretty.py:493(_Line)
      390    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 theme.py:8(Theme)
      324    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1002    0.000    0.000    0.000    0.000 parser.py:107(peek_event)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
     1002    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
      331    0.000    0.000    0.000    0.000 functools.py:65(wraps)
     1002    0.000    0.000    0.000    0.000 resolver.py:114(ascend_resolver)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.000    0.000 containers.py:30(Renderables)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 align.py:23(Align)
       81    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
     1006    0.000    0.000    0.000    0.000 tokens.py:3(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:420(ExtendedInterpolation)
      242    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       42    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       15    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
    57/43    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:179(sub)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
      501    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     1000    0.000    0.000    0.000    0.000 scanner.py:349(add_indent)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 parser.py:139(parse_implicit_document_start)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _make.py:1306(attrs)
        1    0.000    0.000    0.000    0.000 configparser.py:1277(ConverterMapping)
       25    0.000    0.000    0.000    0.000 _make.py:2718(__setstate__)
        2    0.000    0.000    0.000    0.000 typing.py:2854(__new__)
      449    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        8    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       12    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       18    0.000    0.000    0.000    0.000 color.py:431(parse)
      405    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
      509    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:47(Span)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       50    0.000    0.000    0.000    0.000 _make.py:2724(_setattrs)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emoji.py:27(Emoji)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 argparse.py:2229(_match_argument)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 panel.py:17(Panel)
      455    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jupyter.py:18(JupyterRenderable)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.000    0.000 pretty.py:408(Node)
      202    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      345    0.000    0.000    0.000    0.000 contextlib.py:440(__init__)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      141    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       19    0.000    0.000    0.000    0.000 box.py:33(__init__)
       49    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      727    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      258    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       79    0.000    0.000    0.000    0.000 _make.py:1237(_determine_attrib_eq_order)
       29    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       68    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       49    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
       12    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      102    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.000    0.000 control.py:54(Control)
        1    0.000    0.000    0.000    0.000 color.py:21(ColorSystem)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0000017B87FE5940}
        8    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 palette.py:11(Palette)
       41    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:623(_calc_mode)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 console.py:258(RichCast)
        1    0.000    0.000    0.000    0.000 segment.py:696(SegmentLines)
       54    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        8    0.000    0.000    0.000    0.000 reader.py:146(update)
       52    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
      215    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        7    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
        1    0.000    0.000    0.000    0.000 pretty.py:253(Pretty)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       28    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
        3    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
       16    0.000    0.000    0.000    0.000 _make.py:1769(append_hash_computation_lines)
       72    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 color.py:36(ColorType)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
       60    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        8    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
      229    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       49    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
       61    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        3    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
        1    0.000    0.000    0.000    0.000 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 game.py:9(blockPrint)
      113    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
      513    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:36(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:764(_code_to_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _make.py:2764(_CountingAttr)
        1    0.000    0.000    0.000    0.000 table.py:38(Column)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       15    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        1    0.000    0.000    0.000    0.000 box.py:16(Box)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
      188    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
       30    0.000    0.000    0.000    0.000 _make.py:409(_has_own_attribute)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 style.py:16(_Bit)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
        1    0.000    0.000    0.000    0.000 inspect.py:3050(from_callable)
        2    0.000    0.000    0.000    0.000 __init__.py:446(__getattr__)
       15    0.000    0.000    0.000    0.000 _make.py:425(_get_annotations)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 color_triplet.py:4(ColorTriplet)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       25    0.000    0.000    0.000    0.000 _make.py:2842(__init__)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       53    0.000    0.000    0.000    0.000 _make.py:1733(_generate_unique_filename)
       10    0.000    0.000    0.000    0.000 _make.py:2792(<genexpr>)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       55    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       55    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.000    0.000 inspect.py:2470(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 typing.py:1264(__ror__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.000    0.000 nodes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen os>:688(__setitem__)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 segment.py:671(Segments)
        2    0.000    0.000    0.000    0.000 argparse.py:1497(add_argument_group)
        1    0.000    0.000    0.000    0.000 pager.py:1(<module>)
      102    0.000    0.000    0.000    0.000 typing.py:1293(<genexpr>)
        1    0.000    0.000    0.000    0.000 argparse.py:1987(take_action)
       33    0.000    0.000    0.000    0.000 <frozen os>:754(encodekey)
        1    0.000    0.000    0.000    0.000 _make.py:56(_Nothing)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
       89    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
      145    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 theme.py:18(__init__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       98    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       40    0.000    0.000    0.000    0.000 _make.py:541(<genexpr>)
